date,variable,state_code,value
2020-12-13,mask_requirement,Nebraska,5679.15625
2020-12-13,no_mask_requirement,Michigan,4408.357421875
2020-12-13,no_mask_requirement,Mississippi,3979.3310546875
2020-12-13,no_mask_requirement,Nebraska,5786.31201171875
2020-12-14,mask_requirement,Michigan,4240.634765625
2020-12-14,mask_requirement,Mississippi,4004.9140625
2020-12-14,mask_requirement,Nebraska,5453.68359375
2020-12-14,no_mask_requirement,Michigan,4361.71142578125
2020-12-14,no_mask_requirement,Mississippi,3977.453369140625
2020-12-14,no_mask_requirement,Nebraska,5762.71044921875
2020-12-15,mask_requirement,Michigan,4208.330078125
2020-12-15,mask_requirement,Mississippi,4132.21044921875
2020-12-15,mask_requirement,Nebraska,5416.6220703125
2020-12-15,no_mask_requirement,Michigan,4337.49462890625
2020-12-15,no_mask_requirement,Mississippi,4038.669189453125
2020-12-15,no_mask_requirement,Nebraska,5654.87841796875
2020-12-16,mask_requirement,Michigan,4153.04248046875
2020-12-16,mask_requirement,Mississippi,4168.49560546875
2020-12-16,mask_requirement,Nebraska,5453.1240234375
2020-12-16,no_mask_requirement,Michigan,4348.03271484375
2020-12-16,no_mask_requirement,Mississippi,4113.12646484375
2020-12-16,no_mask_requirement,Nebraska,5601.69775390625
2020-12-17,mask_requirement,Michigan,4188.14599609375
2020-12-17,mask_requirement,Mississippi,4220.22119140625
2020-12-17,mask_requirement,Nebraska,5474.16259765625
2020-12-17,no_mask_requirement,Michigan,4402.3076171875
2020-12-17,no_mask_requirement,Mississippi,4192.93896484375
2020-12-17,no_mask_requirement,Nebraska,5585.74462890625
2020-12-18,mask_requirement,Michigan,4154.2314453125
2020-12-18,mask_requirement,Mississippi,4180.85986328125
2020-12-18,mask_requirement,Nebraska,5234.88525390625
2020-12-18,no_mask_requirement,Michigan,4393.82568359375
2020-12-18,no_mask_requirement,Mississippi,4205.21044921875
2020-12-18,no_mask_requirement,Nebraska,5426.9658203125
2020-12-19,mask_requirement,Michigan,4122.9150390625
2020-12-19,mask_requirement,Mississippi,4205.34619140625
2020-12-19,mask_requirement,Nebraska,5071.970703125
2020-12-19,no_mask_requirement,Michigan,4339.0849609375
2020-12-19,no_mask_requirement,Mississippi,4195.2294921875
2020-12-19,no_mask_requirement,Nebraska,5380.57861328125
2020-12-20,mask_requirement,Michigan,4080.774658203125
2020-12-20,mask_requirement,Mississippi,4210.80322265625
2020-12-20,mask_requirement,Nebraska,5161.59521484375
2020-12-20,no_mask_requirement,Michigan,4483.625
2020-12-20,no_mask_requirement,Mississippi,4237.11865234375
2020-12-20,no_mask_requirement,Nebraska,5148.162109375
2020-12-21,mask_requirement,Michigan,4068.052490234375
2020-12-21,mask_requirement,Mississippi,4158.77587890625
2020-12-21,mask_requirement,Nebraska,5059.8349609375
2020-12-21,no_mask_requirement,Michigan,4506.61962890625
2020-12-21,no_mask_requirement,Mississippi,4314.33544921875
2020-12-21,no_mask_requirement,Nebraska,5188.326171875
2020-12-22,mask_requirement,Michigan,4028.4814453125
2020-12-22,mask_requirement,Mississippi,4155.9892578125
2020-12-22,mask_requirement,Nebraska,5006.9189453125
2020-12-22,no_mask_requirement,Michigan,4486.220703125
2020-12-22,no_mask_requirement,Mississippi,4238.0771484375
2020-12-22,no_mask_requirement,Nebraska,4911.3935546875
2020-12-23,mask_requirement,Michigan,4152.5537109375
2020-12-23,mask_requirement,Mississippi,4200.6396484375
2020-12-23,mask_requirement,Nebraska,4871.44580078125
2020-12-23,no_mask_requirement,Michigan,4465.3486328125
2020-12-23,no_mask_requirement,Mississippi,4352.44482421875
2020-12-23,no_mask_requirement,Nebraska,4933.1103515625
2020-12-24,mask_requirement,Michigan,4168.39453125
2020-12-24,mask_requirement,Mississippi,4270.96240234375
2020-12-24,mask_requirement,Nebraska,4976.22216796875
2020-12-24,no_mask_requirement,Michigan,4502.11474609375
2020-12-24,no_mask_requirement,Mississippi,4350.24609375
2020-12-24,no_mask_requirement,Nebraska,4829.3251953125
2020-12-25,mask_requirement,Michigan,4193.04345703125
2020-12-25,mask_requirement,Mississippi,4219.11181640625
2020-12-25,mask_requirement,Nebraska,4947.88623046875
2020-12-25,no_mask_requirement,Michigan,4439.5771484375
2020-12-25,no_mask_requirement,Mississippi,4432.8203125
2020-12-25,no_mask_requirement,Nebraska,4836.9716796875
2020-12-26,mask_requirement,Michigan,4186.78125
2020-12-26,mask_requirement,Mississippi,4246.12646484375
2020-12-26,mask_requirement,Nebraska,4935.458984375
2020-12-26,no_mask_requirement,Michigan,4445.1513671875
2020-12-26,no_mask_requirement,Mississippi,4460.6650390625
2020-12-26,no_mask_requirement,Nebraska,4866.9189453125
2020-12-27,mask_requirement,Michigan,4139.703125
2020-12-27,mask_requirement,Mississippi,4239.66357421875
2020-12-27,mask_requirement,Nebraska,4807.4853515625
2020-12-27,no_mask_requirement,Michigan,4382.451171875
2020-12-27,no_mask_requirement,Mississippi,4363.3115234375
2020-12-27,no_mask_requirement,Nebraska,4677.37841796875
2020-12-28,mask_requirement,Michigan,4166.20947265625
2020-12-28,mask_requirement,Mississippi,4192.3134765625
2020-12-28,mask_requirement,Nebraska,4598.20068359375
2020-12-28,no_mask_requirement,Michigan,4412.96728515625
2020-12-28,no_mask_requirement,Mississippi,4407.97998046875
2020-12-28,no_mask_requirement,Nebraska,4763.27880859375
2020-12-29,mask_requirement,Michigan,4238.3330078125
2020-12-29,mask_requirement,Mississippi,4256.69873046875
2020-12-29,mask_requirement,Nebraska,4669.14208984375
2020-12-29,no_mask_requirement,Michigan,4391.498046875
2020-12-29,no_mask_requirement,Mississippi,4447.1298828125
2020-12-29,no_mask_requirement,Nebraska,4488.11328125
2020-12-30,mask_requirement,Michigan,4203.197265625
2020-12-30,mask_requirement,Mississippi,4304.08642578125
2020-12-30,mask_requirement,Nebraska,4564.01806640625
2020-12-30,no_mask_requirement,Michigan,4395.255859375
2020-12-30,no_mask_requirement,Mississippi,4488.7373046875
2020-12-30,no_mask_requirement,Nebraska,4433.8935546875
2020-12-31,mask_requirement,Michigan,4258.287109375
2020-12-31,mask_requirement,Mississippi,4348.54541015625
2020-12-31,mask_requirement,Nebraska,4496.4814453125
2020-12-31,no_mask_requirement,Michigan,4411.26708984375
2020-12-31,no_mask_requirement,Mississippi,4507.08740234375
2020-12-31,no_mask_requirement,Nebraska,4363.310546875
2021-01-01,mask_requirement,Michigan,4328.73388671875
2021-01-01,mask_requirement,Mississippi,4364.21533203125
